caseid,wt2,wt2a,knowledge,sex,race,age,female,white,oftenvote,conservative,prayfreq,heterosexual,married,yrsofschool,income,speaker,vp,pm,cj
65,2.4834001,240467.73054,3,2. Female respondent selected,1. White,28,1,1,Nearly Always,2,Once/week,0,1,17,11,1,1,1,0
66,2.4834001,240467.73054,3,2. Female respondent selected,1. White,28,1,1,Part of the Time,1,Once/week,0,1,17,3,1,1,1,0
67,1.4904,144317.438864,2,1. Male respondent selected,1. White,90. 90 years old or older,0,1,Always,4,Daily,1,1,12,13,1,1,0,0
68,1.3891,134508.768816,4,1. Male respondent selected,1. White,40,0,1,Always,2,Once/week,0,0,17,23,1,1,1,1
69,2.3004999,222758.520739,3,2. Female respondent selected,1. White,66,1,1,Always,2,Never,0,1,17,18,1,1,0,1
70,0. No Post-election interview,0. No Post-election interview,,2. Female respondent selected,1. White,42,1,1,Always,6,Few times a week,1,1,17,25,,,,
71,.88599998,85786.287767,2,2. Female respondent selected,1. White,47,1,1,Always,1,Daily,1,0,16,17,1,1,0,0
72,.588,56938.655234,3,1. Male respondent selected,4. Other race,34,0,0,Part of the Time,4,Never,1,1,14,19,1,1,0,1
73,.48500001,46959.496896,0,1. Male respondent selected,2. Black/African-American,20,0,0,Seldom,1,Several/Day,1,0,14,1,0,0,0,0
74,.33289999,32236.440109,2,2. Female respondent selected,2. Black/African-American,50,1,0,Seldom,,Few times a week,1,0,14,5,0,0,1,1
75,.62959999,60966.896175,0,1. Male respondent selected,2. Black/African-American,36,0,0,Always,2,Several/Day,1,1,12,7,0,0,0,0
76,.8707,84307.732195,2,1. Male respondent selected,1. White,58,0,1,Always,1,Several/Day,0,0,17,17,1,1,0,0
77,.82429999,79812.776753,4,1. Male respondent selected,1. White,32,0,1,Always,1,Daily,1,1,17,18,1,1,1,1
78,.82429999,79812.776753,3,1. Male respondent selected,1. White,36,0,1,Part of the Time,4,Several/Day,1,0,17,6,1,1,1,0
79,.82429999,79812.776753,3,2. Female respondent selected,4. Other race,29,1,0,Always,2,Few times a week,1,1,17,11,1,1,0,1
80,.76709998,74277.628017,3,1. Male respondent selected,2. Black/African-American,29,0,0,Nearly Always,2,Few times a week,1,0,16,12,1,1,0,1
81,.2357,22819.147713,0,2. Female respondent selected,1. White,35,1,1,Nearly Always,2,Daily,1,1,14,11,0,0,0,0
82,.90549999,87681.960272,0,1. Male respondent selected,1. White,28,0,1,Seldom,5,Never,1,0,17,15,0,0,0,0
83,.23729999,22976.632167,0,2. Female respondent selected,2. Black/African-American,75,1,0,Always,7,Several/Day,1,0,10,7,0,0,0,0
84,0. No Post-election interview,0. No Post-election interview,,1. Male respondent selected,4. Other race,61,0,0,Always,6,Several/Day,1,1,12,,,,,
85,.73570001,71234.59314300001,0,2. Female respondent selected,1. White,35,1,1,Always,5,Few times a week,1,1,16,20,0,0,0,0
86,.3788,36681.394423,0,2. Female respondent selected,1. White,25,1,1,Seldom,7,Several/Day,1,1,12,3,0,0,0,0
87,.39050001,37816.082544,0,2. Female respondent selected,1. White,51,1,1,Always,4,Several/Day,1,1,12,1,0,0,0,0
88,.73570001,71234.59314300001,0,1. Male respondent selected,1. White,38,0,1,Nearly Always,6,Several/Day,1,1,16,18,0,0,0,0
89,.2485,24064.485557,0,2. Female respondent selected,1. White,52,1,1,Nearly Always,5,Several/Day,1,0,14,11,0,0,0,0
90,.90549999,87681.960272,0,2. Female respondent selected,1. White,27,1,1,Seldom,4,Daily,1,1,15,9,0,0,0,0
91,0. No Post-election interview,0. No Post-election interview,,2. Female respondent selected,1. White,53,1,1,Always,4,Several/Day,1,1,16,18,,,,
92,.1829,17708.098119,0,2. Female respondent selected,2. Black/African-American,33,1,0,Seldom,2,Few times a week,1,0,13,11,0,0,0,0
93,1.1329,109696.808614,0,1. Male respondent selected,1. White,25,0,1,Always,6,Few times a week,1,0,15,14,0,0,0,0
94,.2604,25210.464906,0,1. Male respondent selected,1. White,51,0,1,Seldom,4,Daily,1,0,12,12,0,0,0,0
95,.28529999,27622.723203,0,2. Female respondent selected,1. White,45,1,1,Seldom,4,Few times a week,1,0,14,12,0,0,0,0
96,1.0764,104223.451699,0,1. Male respondent selected,1. White,24,0,1,Part of the Time,,Never,1,1,14,2,0,0,0,0
97,0. No Post-election interview,0. No Post-election interview,,1. Male respondent selected,1. White,25,0,1,Part of the Time,5,Daily,1,0,13,3,,,,
98,.36160001,35013.27355,0,2. Female respondent selected,1. White,28,1,1,Seldom,3,Few times a week,1,0,14,10,0,0,0,0
99,.70819998,68569.997349,0,1. Male respondent selected,4. Other race,45,0,0,Nearly Always,6,Several/Day,1,1,13,13,0,0,0,0
100,0. No Post-election interview,0. No Post-election interview,,2. Female respondent selected,2. Black/African-American,62,1,0,Part of the Time,4,Several/Day,1,0,16,5,,,,
101,.77710003,75246.436048,0,1. Male respondent selected,1. White,54,0,1,Part of the Time,3,Few times a week,1,0,17,4,0,0,0,0
102,0. No Post-election interview,0. No Post-election interview,,2. Female respondent selected,2. Black/African-American,28,1,0,Part of the Time,3,Once/week,1,1,12,,,,,
103,1.512,146404.831992,0,2. Female respondent selected,1. White,23,1,1,Seldom,,Several/Day,0,0,12,4,0,0,0,0
104,.65069997,63010.204474,0,1. Male respondent selected,5. White and another race,59,0,0,Nearly Always,2,Never,1,0,12,10,0,0,0,0
105,.3971,38448.180572,0,2. Female respondent selected,2. Black/African-American,19,1,0,Seldom,,Few times a week,1,0,13,8,0,0,0,0
106,.2449,23711.341896,0,1. Male respondent selected,1. White,61,0,1,Nearly Always,4,Daily,1,1,16,5,0,0,0,0
107,.36160001,35013.27355,1,1. Male respondent selected,4. Other race,28,0,0,Nearly Always,2,Once/week,1,0,14,4,0,1,0,0
108,.29589999,28652.18358,4,2. Female respondent selected,4. Other race,56,1,0,Always,,Several/Day,1,1,14,3,1,1,1,1
109,.3788,36681.020796,0,1. Male respondent selected,4. Other race,26,0,0,Nearly Always,3,Once/week,1,0,12,6,0,0,0,0
110,.2782,26934.400872,2,1. Male respondent selected,1. White,60,0,1,Always,2,Never,1,1,12,19,1,1,0,0
111,.35100001,33991.028462,0,2. Female respondent selected,4. Other race,37,1,0,Nearly Always,4,Once/week,1,1,16,15,0,0,0,0
112,.4524,43804.271206,3,2. Female respondent selected,4. Other race,29,1,0,Part of the Time,,Once/week,1,0,16,14,0,1,1,1
113,.2604,25210.464906,0,1. Male respondent selected,4. Other race,58,0,0,Seldom,,Several/Day,1,0,12,4,0,0,0,0
114,.49200001,47638.127732,0,2. Female respondent selected,4. Other race,30,1,0,Seldom,6,Daily,1,1,12,1,0,0,0,0
115,.4492,43494.299295,1,2. Female respondent selected,4. Other race,19,1,0,Always,,Daily,1,1,11,9,0,0,0,1
116,.3109,30106.197102,2,2. Female respondent selected,1. White,55,1,1,Always,2,Once/week,1,0,16,17,1,1,0,0
117,.2357,22818.915283,0,2. Female respondent selected,4. Other race,35,1,0,Nearly Always,4,Few times a week,1,0,13,17,0,0,0,0
118,.51249999,49621.440073,2,2. Female respondent selected,2. Black/African-American,67,1,0,Always,4,Daily,1,0,13,,1,1,0,0
119,.47130001,45637.830566,0,1. Male respondent selected,4. Other race,35,0,0,Always,3,Few times a week,1,1,15,15,0,0,0,0
120,2.3245001,225080.482182,1,1. Male respondent selected,4. Other race,73,0,0,Always,4,Several/Day,1,1,12,10,0,1,0,0
121,.7112,68861.622304,2,2. Female respondent selected,2. Black/African-American,63,1,0,Always,,Few times a week,1,0,11,15,1,1,0,0
122,1.3384,129593.955842,3,1. Male respondent selected,4. Other race,35,0,0,Nearly Always,5,Daily,1,0,17,17,1,1,0,1
123,3.1019001,300352.843395,1,2. Female respondent selected,4. Other race,20,1,0,Part of the Time,,Few times a week,1,0,12,9,0,1,0,0
124,1.8388,178053.527832,3,1. Male respondent selected,1. White,60,0,1,Nearly Always,4,Several/Day,1,1,14,,1,1,0,1
125,.47130001,45637.830566,2,1. Male respondent selected,1. White,31,0,1,Seldom,5,Never,1,0,14,18,1,1,0,0
126,1.2648,122470.876411,3,2. Female respondent selected,1. White,53,1,1,Always,4,Never,1,1,12,1,1,1,0,1
127,1.0667,103286.105013,0,2. Female respondent selected,1. White,65,1,1,Always,,Once/week,0,0,12,12,0,0,0,0
128,.94870001,91858.414882,1,1. Male respondent selected,1. White,26,0,1,Seldom,,Never,1,0,12,3,0,1,0,0
129,.76880002,74446.391017,0,2. Female respondent selected,1. White,75,1,1,Always,6,Daily,1,0,12,10,0,0,0,0
130,2.0366001,197199.26603,3,1. Male respondent selected,1. White,26,0,1,Seldom,,Several/Day,1,0,11,1,1,1,0,1
131,1.4069,136232.697714,3,2. Female respondent selected,1. White,58,1,1,Always,1,Never,1,1,17,18,1,1,1,0
132,1.1246001,108892.411179,3,2. Female respondent selected,1. White,50,1,1,Always,2,Few times a week,1,1,15,9,1,1,0,1
133,1.0646,103086.697711,1,2. Female respondent selected,1. White,35,1,1,Part of the Time,5,Once/week,1,1,14,8,0,1,0,0
134,1.9382,187676.484683,1,1. Male respondent selected,1. White,52,0,1,Nearly Always,3,Never,1,1,13,12,0,1,0,0
135,3.1019001,300352.843395,1,1. Male respondent selected,1. White,18. 18 years old,0,1,Seldom,4,Once/week,1,0,12,2,0,1,0,0
136,0. No Post-election interview,0. No Post-election interview,,1. Male respondent selected,4. Other race,57,0,0,Always,2,Never,1,1,14,4,,,,
137,1.9382,187676.484683,2,1. Male respondent selected,1. White,52,0,1,Always,5,Never,1,1,17,10,1,0,1,0
138,.47130001,45637.830566,1,2. Female respondent selected,4. Other race,36,1,0,Always,2,Several/Day,1,1,14,18,0,1,0,0
139,2.865,277412.714912,4,1. Male respondent selected,1. White,76,0,1,Always,6,Once/week,1,1,16,21,1,1,1,1
140,0. No Post-election interview,0. No Post-election interview,,1. Male respondent selected,1. White,56,0,1,Seldom,,Few times a week,1,0,11,11,,,,
141,2.0309999,196659.528423,3,2. Female respondent selected,1. White,53,1,1,Always,6,Daily,1,1,13,7,1,1,1,0
142,0. No Post-election interview,0. No Post-election interview,,2. Female respondent selected,1. White,78,1,1,Nearly Always,2,Several/Day,1,0,10,8,,,,
143,0. No Post-election interview,0. No Post-election interview,,2. Female respondent selected,1. White,39,1,1,Part of the Time,6,Daily,1,0,12,7,,,,
144,2.0304999,196615.864199,4,2. Female respondent selected,1. White,58,1,1,Always,5,Never,1,1,12,7,1,1,1,1
145,1.9223,186133.082539,1,1. Male respondent selected,1. White,31,0,1,Nearly Always,5,Never,1,1,12,20,0,1,0,0
146,.70359999,68127.354431,3,2. Female respondent selected,1. White,64,1,1,Always,2,Daily,1,1,16,19,1,1,1,0
147,.70359999,68127.354431,3,2. Female respondent selected,1. White,65,1,1,Always,6,Several/Day,1,1,17,,1,1,0,1
148,.62110001,60145.368854,2,1. Male respondent selected,1. White,57,0,1,,3,Several/Day,1,1,14,20,1,1,0,0
149,.58920002,57048.795377,0,2. Female respondent selected,1. White,66,1,1,Seldom,,Once/week,1,0,12,9,0,0,0,0
150,.56239998,54455.002476,4,1. Male respondent selected,1. White,60,0,1,Always,2,Never,1,1,14,18,1,1,1,1
151,.70819998,68569.997349,4,1. Male respondent selected,1. White,46,0,1,Always,2,Few times a week,1,1,14,11,1,1,1,1
152,.77710003,75246.436048,4,1. Male respondent selected,1. White,57,0,1,Always,6,Several/Day,1,1,16,25,1,1,1,1
153,.70819998,68569.997349,3,1. Male respondent selected,1. White,42,0,1,Always,6,Daily,1,1,15,24,1,1,1,0
154,0. No Post-election interview,0. No Post-election interview,,2. Female respondent selected,1. White,59,1,1,Always,4,Several/Day,1,0,17,23,,,,
155,.56239998,54455.002476,1,2. Female respondent selected,1. White,64,1,1,Seldom,3,Several/Day,1,1,13,6,0,0,1,0
156,.56239998,54455.002476,3,2. Female respondent selected,1. White,65,1,1,Always,2,Once/week,1,1,14,,1,1,1,0
157,.70819998,68569.997349,3,1. Male respondent selected,1. White,45,0,1,Nearly Always,,Daily,1,0,13,18,0,1,1,1
158,.73570001,71234.59314300001,2,2. Female respondent selected,1. White,,1,1,Always,2,Once/week,1,1,16,3,1,1,0,0
159,0. No Post-election interview,0. No Post-election interview,,2. Female respondent selected,1. White,56,1,1,Nearly Always,,Several/Day,1,0,16,15,,,,
160,2.9609001,286696.935889,0,2. Female respondent selected,1. White,26,1,1,Nearly Always,4,Several/Day,1,0,13,12,0,0,0,0
161,2.0143001,195042.252086,0,1. Male respondent selected,1. White,35,0,1,Seldom,5,Never,1,1,12,13,0,0,0,0
162,2.4054999,232918.373633,2,1. Male respondent selected,4. Other race,34,0,0,Seldom,3,Once/week,1,1,16,23,0,1,0,1
163,.9242,89488.096089,0,2. Female respondent selected,2. Black/African-American,20,1,0,Seldom,,Several/Day,1,0,14,3,0,0,0,0
164,.6031,58399.886641,0,1. Male respondent selected,1. White,85,0,1,Always,3,Once/week,1,0,10,6,0,0,0,0
165,.58969998,57096.401011,1,1. Male respondent selected,5. White and another race,36,0,0,Nearly Always,6,Never,1,0,16,21,0,1,0,0
166,2.9609001,286696.935889,3,1. Male respondent selected,1. White,26,0,1,Nearly Always,4,Once/week,1,0,15,,1,1,0,1
167,.88319999,85522.257243,2,2. Female respondent selected,1. White,46,1,1,Seldom,,Several/Day,1,0,14,4,0,0,1,1
168,.60900003,58972.256245,4,2. Female respondent selected,4. Other race,46,1,0,Always,2,Daily,1,0,6,12,1,1,1,1
169,.73479998,71152.719006,4,2. Female respondent selected,4. Other race,63,1,0,Seldom,4,,1,1,12,25,1,1,1,1
170,.61739999,59786.313587,4,2. Female respondent selected,4. Other race,53,1,0,Part of the Time,4,Few times a week,1,0,4,9,1,1,1,1
171,.31009999,30026.632843,2,1. Male respondent selected,4. Other race,50,0,0,Seldom,4,Daily,1,1,6,12,1,0,0,1
172,.35600001,34466.800219,4,1. Male respondent selected,4. Other race,44,0,0,Always,4,Daily,1,0,11,14,1,1,1,1
173,.44600001,43186.007123,1,2. Female respondent selected,4. Other race,65,1,0,Always,6,Few times a week,1,1,15,10,1,0,0,0
174,.67409998,65270.120944,2,1. Male respondent selected,1. White,76,0,1,Always,,Several/Day,1,0,16,16,1,1,0,0
175,1.0556,102213.130474,2,2. Female respondent selected,4. Other race,,1,0,Always,2,Daily,1,0,17,25,1,1,0,0
176,2.3004999,222758.520739,3,2. Female respondent selected,1. White,60,1,1,Always,2,Once/week,0,0,17,23,1,1,0,1
177,2.1112001,204426.260949,2,1. Male respondent selected,1. White,50,0,1,Nearly Always,2,Daily,1,1,16,,1,1,0,0
178,2.4068999,233060.473957,1,2. Female respondent selected,1. White,40,1,1,Nearly Always,3,Daily,1,0,16,16,0,1,0,0
179,1.0556,102213.130474,4,2. Female respondent selected,1. White,58,1,1,Always,3,Once/week,1,0,17,,1,1,1,1
180,2.4944,241529.09015,2,1. Male respondent selected,1. White,75,0,1,Always,6,Several/Day,1,1,17,6,1,1,0,0
181,2.0888,202252.733232,3,1. Male respondent selected,1. White,85,0,1,Always,5,Daily,1,1,12,7,1,1,0,1
182,.95569998,92542.724055,2,2. Female respondent selected,1. White,65,1,1,Always,6,Several/Day,1,0,16,,1,1,0,0
183,.89840001,86988.598591,2,1. Male respondent selected,4. Other race,27,0,0,Nearly Always,3,Several/Day,1,0,10,5,1,1,0,0
184,.89840001,86988.598591,0,1. Male respondent selected,4. Other race,20,0,0,Seldom,3,Daily,1,0,11,6,0,0,0,0
185,2.9609001,286696.935889,1,2. Female respondent selected,4. Other race,20,1,0,Seldom,3,Once/week,1,0,14,1,0,1,0,0
186,1.4285001,138324.80458,1,2. Female respondent selected,1. White,72,1,1,Seldom,4,Several/Day,1,0,14,6,0,1,0,0
187,2.8763001,278513.695145,3,1. Male respondent selected,1. White,45,0,1,Seldom,,Daily,1,0,9,25,1,0,1,1
188,1.5955,154488.844769,4,2. Female respondent selected,1. White,45,1,1,Always,1,,1,1,16,1,1,1,1,1
189,.88599998,85786.287767,4,2. Female respondent selected,1. White,46,1,1,Always,6,Daily,1,1,16,4,1,1,1,1
190,.47130001,45637.830566,0,1. Male respondent selected,4. Other race,32,0,0,Part of the Time,4,Few times a week,1,1,13,19,0,0,0,0
191,0. No Post-election interview,0. No Post-election interview,,2. Female respondent selected,1. White,36,1,1,Seldom,3,Several/Day,1,1,12,13,,,,
192,.55800003,54028.983197,4,2. Female respondent selected,1. White,61,1,1,Always,6,Several/Day,1,1,16,17,1,1,1,1
193,1.9873,192424.983445,2,1. Male respondent selected,4. Other race,32,0,0,Nearly Always,3,Daily,0,0,17,13,0,1,0,1
194,1.3216,127971.777831,0,1. Male respondent selected,1. White,72,0,1,Always,6,Once/week,1,1,14,12,0,0,0,0
195,1.059,102538.381119,3,1. Male respondent selected,1. White,34,0,1,Seldom,4,Once/week,1,1,13,25,0,1,1,1
196,1.5955,154488.844769,4,1. Male respondent selected,1. White,46,0,1,Nearly Always,5,Few times a week,1,1,17,22,1,1,1,1
197,.77710003,75246.436048,4,1. Male respondent selected,4. Other race,56,0,0,Seldom,4,Few times a week,1,1,17,15,1,1,1,1
198,1.2671,122687.629424,3,1. Male respondent selected,1. White,61,0,1,Part of the Time,5,Daily,1,1,17,24,1,1,0,1
199,.65069997,63010.204474,2,2. Female respondent selected,1. White,52,1,1,Nearly Always,,Several/Day,1,0,12,16,0,1,0,1
200,.62110001,60145.368854,2,1. Male respondent selected,1. White,55,0,1,Nearly Always,4,Several/Day,1,0,14,3,1,0,1,0
201,1.0326999,99994.939341,0,1. Male respondent selected,1. White,20,0,1,Seldom,5,Never,1,0,12,8,0,0,0,0
202,.70819998,68569.997349,2,1. Male respondent selected,4. Other race,45,0,0,Always,7,Several/Day,1,1,15,21,1,1,0,0
203,1.0768,104265.502342,1,2. Female respondent selected,1. White,46,1,1,Part of the Time,3,Daily,1,1,12,8,0,1,0,0
204,.70359999,68127.354431,2,2. Female respondent selected,1. White,65,1,1,Nearly Always,4,Few times a week,1,0,16,19,1,1,0,0
205,.88599998,85786.287767,3,1. Male respondent selected,1. White,41,0,1,Always,6,Never,1,0,16,25,0,1,1,1
206,.50050002,48461.362748,0,2. Female respondent selected,4. Other race,63,1,0,Always,,Daily,,1,6,,0,0,0,0
207,.73390001,71061.59526,1,1. Male respondent selected,1. White,70,0,1,Always,3,Few times a week,1,0,14,25,0,1,0,0
208,.96219999,93171.11410799999,1,2. Female respondent selected,1. White,73,1,1,Nearly Always,,Several/Day,1,1,16,,0,1,0,0
209,.92250001,89323.937781,2,1. Male respondent selected,1. White,68,0,1,Nearly Always,6,Once/week,1,1,16,18,1,1,0,0
210,1.4591,141279.914686,1,2. Female respondent selected,1. White,45,1,1,Always,,Several/Day,1,1,12,1,0,1,0,0
211,.73390001,71061.59526,3,2. Female respondent selected,1. White,77,1,1,Nearly Always,6,Few times a week,1,0,14,17,1,1,0,1
212,0. No Post-election interview,0. No Post-election interview,,2. Female respondent selected,2. Black/African-American,24,1,0,Always,3,Several/Day,1,0,12,14,,,,
213,.68260002,66097.767064,1,2. Female respondent selected,4. Other race,18. 18 years old,1,0,Seldom,2,Never,1,0,12,1,1,0,0,0
214,1.1586,112182.894619,0,1. Male respondent selected,4. Other race,40,0,0,Always,4,Daily,1,1,16,11,0,0,0,0
215,.3087,29893.156794,0,1. Male respondent selected,4. Other race,50,0,0,Always,6,Once/week,1,1,6,13,0,0,0,0
216,.36160001,35013.27355,0,2. Female respondent selected,4. Other race,27,1,0,Always,4,Few times a week,1,1,13,9,0,0,0,0
